──────────────────────────────────────────────────────────────────────
05 · Session totals and per-kilometer lap splits
──────────────────────────────────────────────────────────────────────

Running — 12.00 km in 60 min
HR avg/max:      154 / 182 bpm
Cadence avg/max: 177 / 188 spm
Ascent/descent:  35 / 35 m
Calories:        780 kcal

Lap  Dist km   Time     Pace       Avg HR
1    1.00      05:41    05:41/km   133
2    1.00      04:10    04:10/km   165
3    1.00      05:47    05:47/km   135
4    1.00      04:10    04:10/km   168
5    1.00      05:48    05:48/km   138
6    1.00      04:10    04:10/km   171
7    1.00      05:47    05:47/km   141
8    1.00      04:10    04:10/km   175
9    1.00      05:48    05:48/km   145
10   1.00      04:10    04:10/km   178
11   1.00      05:47    05:47/km   148
12   1.00      04:11    04:11/km   181
