──────────────────────────────────────────────────────────────────────
10 · GPS-derived speed & pace
──────────────────────────────────────────────────────────────────────

Time       km/h    mph     min/km    min/mi
09:00:00   9.4     5.8     6.40      10.30
09:05:00   10.8    6.7     5.58      8.97
09:10:00   14.4    9.0     4.17      6.70
09:15:00   9.7     6.1     6.17      9.92
09:20:00   13.8    8.6     4.61      7.42
09:25:00   9.7     6.0     6.17      9.93
09:30:00   14.4    9.0     4.16      6.70
09:35:00   9.7     6.0     6.17      9.93
09:40:00   14.4    9.0     4.17      6.71
09:45:00   12.8    7.9     4.22      6.79
09:50:00   14.4    9.0     4.16      6.70
09:55:00   9.7     6.0     6.17      9.93
